"idx","p","n","Ni","acc","wacc","|K|a","|K|f","|S|a","|S|f","iacc","NDiff"
1,25,150000,1,1,1,1,0.00812659193341837,0.00759245635740845,0.00810477537885418,0.00765582097795781,0.61570099402641
2,25,150000,2,1,1,1,0.00793463328127985,0.00686098027351542,0.00782663602911825,0.00678318374405917,0.613997473375296
3,25,150000,3,1,1,1,0.00811853342351727,0.00689760432543816,0.00827497820803751,0.00685282915839361,0.612240054634055
4,25,150000,4,1,1,1,0.00876526462177329,0.00893780179275926,0.00917572364995724,0.00907282170417125,0.616763003670601
5,25,150000,5,1,1,1,0.00850440233621536,0.00768892157041262,0.00823509683272525,0.00767326903173422,0.607948437364078
6,25,150000,6,1,1,1,0.0076288710710061,0.00761212578759916,0.00813908354829895,0.00782751809898498,0.625619087879922
7,25,150000,7,1,1,1,0.00857139487947565,0.00760872489470554,0.00851415072771609,0.00740083947393969,0.614379548146009
8,25,150000,8,1,1,1,0.00865984954890765,0.00819202763912479,0.00867448475980399,0.00809077764550324,0.614011854517158
9,25,150000,9,1,1,1,0.00922957559813452,0.00908000105821983,0.00938728665938225,0.00887937173351499,0.619453422162947
10,25,150000,10,1,1,1,0.00971285149215938,0.00926994820334282,0.00983879332149607,0.00944400873444156,0.608906598271462
11,25,150000,11,1,1,1,0.00802276579212666,0.00726641082203687,0.00829466723126471,0.00768366451131979,0.617355650264273
12,25,150000,12,1,1,1,0.00804152115014011,0.00759863993276121,0.00820290466283263,0.00763725797452302,0.619651228316609
13,25,150000,13,1,1,1,0.00774268456460584,0.00779633010831426,0.00816321750879536,0.00794998733284864,0.624428315110364
14,25,150000,14,1,1,1,0.00823093751498921,0.00787346923340023,0.00830466822698556,0.00799358384601211,0.618883204554364
15,25,150000,15,1,1,1,0.00823182322325984,0.0072693478943577,0.00804271674288277,0.00708061354236927,0.61004427140562
16,25,150000,16,1,1,1,0.0088605705318177,0.00846115744881935,0.00890536572872022,0.00844732568913401,0.613988244770482
17,25,150000,17,1,1,1,0.00813922391213322,0.00739619561676438,0.00791687141246316,0.00699989037172316,0.614824769078823
18,25,150000,18,1,1,1,0.0072684874687489,0.00605545546697862,0.00681830755211149,0.00574946494365917,0.614775125384773
19,25,150000,19,1,1,1,0.0082716458789087,0.00789173664728283,0.00837959985995437,0.00796062301245696,0.615660890012017
20,25,150000,20,1,1,1,0.00805557874179894,0.00775210837324845,0.00804640958802362,0.00772589061246427,0.620807977806298
21,25,150000,21,1,1,1,0.00777956862350251,0.00729083313632862,0.00779985721929266,0.00741140941697085,0.616263611544685
22,25,150000,22,1,1,1,0.0090709977482779,0.00836143798001682,0.00916310972876524,0.00828907308301822,0.610182388773866
23,25,150000,23,1,1,1,0.0103205029603104,0.00989496046276397,0.00957689964469879,0.00955889741961837,0.615362024878209
24,25,150000,24,1,1,1,0.00883457594164674,0.00862227951861652,0.00899889366912866,0.00871020564530845,0.617640576439868
25,25,150000,25,1,1,1,0.0101175269552975,0.0100800750805746,0.0101244002564898,0.0101003951950935,0.613813933627685
