"idx","p","n","Ni","acc","wacc","|K|a","|K|f","|S|a","|S|f","iacc"
1,18,1000,1,0,0,0,0.452637376364968,NA,0.225965497985616,NA
2,18,1000,2,0,0,0,0.465405090589271,NA,0.202166339380889,NA
3,18,1000,3,0,0,0,0.468997522922311,NA,0.201450242933937,NA
4,18,1000,4,0,0,0,0.463335710075317,NA,0.189051063115128,NA
5,18,1000,5,0,0,0,0.46198934382589,NA,0.184315738609444,NA
6,18,1000,6,0,0,0,0.455269937874982,NA,0.17352008346878,NA
7,18,1000,7,0,0,0,0.456782016134704,NA,0.185037420938769,NA
8,18,1000,8,0,0,0,0.465001252549647,NA,0.192505906452674,NA
9,18,1000,9,0,0,0,0.465080098882122,NA,0.181684492449354,NA
10,18,1000,10,0,0,0,0.456089834966085,NA,0.181553578207722,NA
11,18,1000,11,0,0,0,0.461336641241205,NA,0.192935586059072,NA
12,18,1000,12,0,0,0,0.460266555198552,NA,0.216204260801517,NA
13,18,1000,13,0,0,0,0.460188454807962,NA,0.220830962542852,NA
14,18,1000,14,0,0,0,0.463831546337264,NA,0.204920415634974,NA
15,18,1000,15,0,0,0,0.45942009510801,NA,0.210937605057353,NA
16,18,1000,16,0,0,0,0.454688556666549,NA,0.167892983125764,NA
17,18,1000,17,0,0,0,0.453941233413164,NA,0.192865297968378,NA
18,18,1000,18,0,0,0,0.46256135605886,NA,0.199096767835126,NA
19,18,1000,19,0,0,0,0.458150227211538,NA,0.240885734822284,NA
20,18,1000,20,0,0,0,0.454922482430387,NA,0.192137249620886,NA
21,18,1000,21,0,0,0,0.454975051393509,NA,0.163135852905687,NA
22,18,1000,22,0,0,0,0.452796279572712,NA,0.16594600505213,NA
23,18,1000,23,0,0,0,0.467356399309067,NA,0.191660762882176,NA
24,18,1000,24,0,0,0,0.465996862381415,NA,0.189543428318936,NA
25,18,1000,25,0,0,0,0.459580328976372,NA,0.183169770247895,NA
26,18,1000,26,0,0,0,0.454814704223847,NA,0.168591630062948,NA
27,18,1000,27,0,0,0,0.466894388035029,NA,0.198449749687462,NA
28,18,1000,28,0,0,0,0.462816822143914,NA,0.19540982648872,NA
29,18,1000,29,0,0,0,0.464121236446518,NA,0.18114898094192,NA
30,18,1000,30,0,0,0,0.463379917555359,NA,0.223083265312245,NA
31,18,1000,31,0,0,0,0.465120431156548,NA,0.209805482372545,NA
32,18,1000,32,0,0,0,0.458155545384226,NA,0.200142190693741,NA
33,18,1000,33,0,0,0,0.454322045008374,NA,0.158136928257579,NA
34,18,1000,34,0,0,0,0.470275151989697,NA,0.185731557703119,NA
35,18,1000,35,0,0,0,0.465908905716778,NA,0.204212090219353,NA
36,18,1000,36,0,0,0,0.454147815675561,NA,0.184783226196036,NA
37,18,1000,37,0,0,0,0.463284988003131,NA,0.197698858899515,NA
38,18,1000,38,0,0,0,0.458041516457794,NA,0.169025802599796,NA
39,18,1000,39,0,0,0,0.454525307212348,NA,0.180764683394,NA
40,18,1000,40,0,0,0,0.450248109609484,NA,0.154232231045512,NA
41,18,1000,41,0,0,0,0.458338973935574,NA,0.179659660575371,NA
42,18,1000,42,0,0,0,0.461051379465328,NA,0.190356904922769,NA
43,18,1000,43,0,0,0,0.472336850531115,NA,0.219131301671285,NA
44,18,1000,44,0,0,0,0.462196638504074,NA,0.224155376587,NA
45,18,1000,45,0,0,0,0.460248672499407,NA,0.187782130287093,NA
46,18,1000,46,0,0,0,0.457514304167975,NA,0.178488720907857,NA
47,18,1000,47,0,0,0,0.464008919326251,NA,0.190406073696395,NA
48,18,1000,48,0,0,0,0.456828693151588,NA,0.171177213185381,NA
49,18,1000,49,0,0,0,0.459065308813017,NA,0.189272972915158,NA
50,18,1000,50,0,0,0,0.462432167889936,NA,0.183507013597707,NA
51,18,1000,51,0,0,0,0.461233671055313,NA,0.159994921490466,NA
52,18,1000,52,0,0,0,0.472843508190725,NA,0.199717048676665,NA
53,18,1000,53,0,0,0,0.464426036810862,NA,0.198597221336703,NA
54,18,1000,54,0,0,0,0.455440873060023,NA,0.191413275479567,NA
55,18,1000,55,0,0,0,0.459588511599811,NA,0.187778932162307,NA
56,18,1000,56,0,0,0,0.466684147326229,NA,0.213798076102962,NA
57,18,1000,57,0,0,0,0.474596075309617,NA,0.217644215841923,NA
58,18,1000,58,0,0,0,0.462826305357212,NA,0.193544263461021,NA
59,18,1000,59,0,0,0,0.454526950559008,NA,0.165841387728849,NA
60,18,1000,60,0,0,0,0.455498216819256,NA,0.216334963255706,NA
61,18,1000,61,0,0,0,0.460405444104443,NA,0.185423289441605,NA
62,18,1000,62,0,0,0,0.452207841646533,NA,0.16809061790705,NA
63,18,1000,63,0,0,0,0.461278226027678,NA,0.192320303355755,NA
64,18,1000,64,0,0,0,0.454398966833364,NA,0.17075553527946,NA
65,18,1000,65,0,0,0,0.462861945192824,NA,0.181782075115151,NA
66,18,1000,66,0,0,0,0.459675480063007,NA,0.19558274570612,NA
67,18,1000,67,0,0,0,0.453583468345623,NA,0.166603873652902,NA
68,18,1000,68,0,0,0,0.463497317711243,NA,0.185789799067137,NA
69,18,1000,69,0,0,0,0.458073287715091,NA,0.183138534644501,NA
70,18,1000,70,0,0,0,0.462543881368955,NA,0.189741313578334,NA
71,18,1000,71,0,0,0,0.455589323729145,NA,0.181880069325382,NA
72,18,1000,72,0,0,0,0.459607151362351,NA,0.177615446003846,NA
73,18,1000,73,0,0,0,0.462349526092864,NA,0.18461540197724,NA
74,18,1000,74,0,0,0,0.459068534013369,NA,0.180547286789425,NA
75,18,1000,75,0,0,0,0.464471912367221,NA,0.202167668624492,NA
76,18,1000,76,0,0,0,0.453053716054668,NA,0.168849841898034,NA
77,18,1000,77,0,0,0,0.457653702457965,NA,0.214280012631881,NA
78,18,1000,78,0,0,0,0.463130838567584,NA,0.183376249426377,NA
79,18,1000,79,0,0,0,0.460077079309395,NA,0.187229657773018,NA
80,18,1000,80,0,0,0,0.469227693032921,NA,0.226919881683802,NA
81,18,1000,81,0,0,0,0.472197203335341,NA,0.197476877468543,NA
82,18,1000,82,0,0,0,0.459864082388984,NA,0.198380277078262,NA
83,18,1000,83,0,0,0,0.46018580433797,NA,0.178737537491898,NA
84,18,1000,84,0,0,0,0.45636011726291,NA,0.194473896955401,NA
85,18,1000,85,0,0,0,0.458342547800159,NA,0.172246109583164,NA
86,18,1000,86,0,0,0,0.465760168362472,NA,0.212851439114927,NA
87,18,1000,87,0,0,0,0.461408318455323,NA,0.185726944255378,NA
88,18,1000,88,0,0,0,0.477582321641834,NA,0.23595053338799,NA
89,18,1000,89,0,0,0,0.464529846852718,NA,0.217869498483608,NA
90,18,1000,90,0,0,0,0.460121312044469,NA,0.221799176003224,NA
91,18,1000,91,0,0,0,0.46012362131554,NA,0.187776343195939,NA
92,18,1000,92,0,0,0,0.460784731874519,NA,0.191687489833338,NA
93,18,1000,93,0,0,0,0.45817543181945,NA,0.169332689183186,NA
94,18,1000,94,0,0,0,0.482168870910597,NA,0.241753825707015,NA
95,18,1000,95,0,0,0,0.457024947543292,NA,0.176222853093814,NA
96,18,1000,96,0,0,0,0.465009289329859,NA,0.196592960758858,NA
97,18,1000,97,0,0,0,0.467044679751369,NA,0.205864190866084,NA
98,18,1000,98,0,0,0,0.467774894775206,NA,0.203357225668161,NA
99,18,1000,99,0,0,0,0.466803918962353,NA,0.225715476762819,NA
100,18,1000,100,0,0,0,0.453766369326503,NA,0.178990928588113,NA
101,18,1250,1,0,0,0,0.459628081350248,NA,0.174216151317382,NA
102,18,1250,2,0,0,0,0.454205500246592,NA,0.144749221811135,NA
103,18,1250,3,0,0,0,0.458145594755459,NA,0.157800575173855,NA
104,18,1250,4,0,0,0,0.454522246513116,NA,0.172754394851523,NA
105,18,1250,5,0,0,0,0.451480124153199,NA,0.160092433184221,NA
106,18,1250,6,0,0,0,0.45460065026736,NA,0.191315413867104,NA
107,18,1250,7,0,0,0,0.457638788761898,NA,0.189600925559063,NA
108,18,1250,8,0,0,0,0.451402936331005,NA,0.175061567115411,NA
109,18,1250,9,0,0,0,0.458790969682647,NA,0.159025536546579,NA
110,18,1250,10,0,0,0,0.461182644193312,NA,0.191331528921466,NA
111,18,1250,11,0,0,0,0.454814135269009,NA,0.175521933107122,NA
112,18,1250,12,0,0,0,0.454057985196017,NA,0.175338024449928,NA
113,18,1250,13,0,0,0,0.464797465046827,NA,0.183298684844283,NA
114,18,1250,14,0,0,0,0.456966857202509,NA,0.170030533486458,NA
115,18,1250,15,0,0,0,0.457075494821415,NA,0.186047518269689,NA
116,18,1250,16,0,0,0,0.460921305074989,NA,0.185458991398028,NA
117,18,1250,17,0,0,0,0.451723063335622,NA,0.156037629921685,NA
118,18,1250,18,0,0,0,0.455724749020976,NA,0.170938766267289,NA
119,18,1250,19,0,0,0,0.458001785177615,NA,0.177249412669943,NA
120,18,1250,20,0,0,0,0.454733370467642,NA,0.168131478112987,NA
121,18,1250,21,0,0,0,0.46031744773266,NA,0.195475720829596,NA
122,18,1250,22,0,0,0,0.456569189915972,NA,0.166460293769274,NA
123,18,1250,23,0,0,0,0.452939341553326,NA,0.162176629914686,NA
124,18,1250,24,0,0,0,0.468371203406872,NA,0.1722531653818,NA
125,18,1250,25,0,0,0,0.453327366748513,NA,0.167502248164526,NA
126,18,1250,26,0,0,0,0.456922092349633,NA,0.185286240319485,NA
127,18,1250,27,0,0,0,0.457774449353692,NA,0.172205529644676,NA
128,18,1250,28,0,0,0,0.456338420627702,NA,0.169128894307186,NA
129,18,1250,29,0,0,0,0.457046809483663,NA,0.166660200731446,NA
130,18,1250,30,0,0,0,0.453900665649208,NA,0.170472933664941,NA
131,18,1250,31,0,0,0,0.455655738385968,NA,0.161074002529868,NA
